Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,1,0,45,3,819,-999.0,0.046547,2.1101,-1.078,1.078,0.57403,117
100,1,0,15,1,819,-999.0,1.7299,1.9698,0.23989,0.23989,0.47462,161
100,0,0,15,1,819,-999.0,2.0453,2.0034,-0.041933,0.041933,0.8322,167
100,0,0,45,3,819,-999.0,0.23024,2.2697,-1.1022,1.1022,0.98241,32
100,0,0,15,1,819,-999.0,1.9825,1.9125,-0.07004,0.07004,0.69957,158
100,0,0,45,3,819,-999.0,0.72208,0.85296,0.13088,0.13088,0.92901,142
100,0,0,45,3,819,-999.0,0.66067,2.2502,-1.5521,1.5521,0.8178,1
100,0,0,15,1,819,-999.0,2.4245,2.2903,-0.13422,0.13422,0.87869,142
100,0,0,45,3,819,-999.0,1.4526,1.5134,0.06073,0.06073,1.5244,161
100,0,0,30,2,819,-999.0,1.4268,1.8957,0.46882,0.46882,0.97981,91
100,0,0,30,2,819,-999.0,3.0776,2.9557,-0.12186,0.12186,0.83005,144
100,0,0,15,1,819,-999.0,1.244,1.1189,-0.1251,0.1251,0.76489,144
100,0,0,30,2,819,-999.0,3.0763,0.18535,0.25062,0.25062,1.1796,-192
100,0,0,45,3,819,-999.0,1.8909,2.1035,0.2126,0.2126,0.8581,126
100,0,0,30,2,819,-999.0,2.2623,2.0185,-0.24373,0.24373,0.87665,121
100,0,0,45,3,819,-999.0,2.3058,2.0444,-0.26148,0.26148,1.067,118
100,0,0,30,2,819,-999.0,1.7906,1.9821,0.19142,0.19142,0.93439,130
100,0,0,15,1,819,-999.0,2.9572,2.8167,-0.14055,0.14055,1.0322,140
100,0,0,45,3,819,-999.0,1.1761,1.1269,-0.049223,0.049223,0.92771,165
100,0,0,45,3,819,-999.0,0.019722,2.7262,-0.43513,0.43513,0.99831,95
100,0,0,15,1,819,-999.0,2.0283,1.7585,-0.26978,0.26978,0.84183,117
100,0,0,45,3,819,-999.0,1.9173,1.8164,-0.10081,0.10081,1.5617,149
100,0,0,30,2,819,-999.0,2.0968,1.9574,-0.13939,0.13939,0.93976,140
100,0,0,30,2,819,-999.0,1.6915,1.8065,0.11496,0.11496,0.95155,146
100,0,0,15,1,819,-999.0,1.7153,1.8767,0.16139,0.16139,0.81299,136
100,0,0,15,1,819,-999.0,2.3541,2.4853,0.13121,0.13121,0.72273,142
100,0,0,30,2,819,-999.0,2.2829,2.0641,-0.2188,0.2188,1.0543,125
100,0,0,30,2,819,-999.0,0.52774,0.53837,0.010638,0.010638,1.0675,184
100,0,0,30,2,819,-999.0,2.5984,2.2626,-0.33571,0.33571,0.89567,108
100,0,0,15,1,819,-999.0,2.2883,2.3994,0.1112,0.1112,0.87799,147
100,0,0,15,1,819,-999.0,0.27086,0.26814,-0.0027156,0.0027156,0.81452,192
